time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2024-07-19 14:58:07.570 UTC, ,125,3159725,952,13872, , ,14, ,6693, , , , , , , , , ,14,14, , , , ,2,22, ,320, , , , , , , , , ,2, , , ,6364458,1218,1,573,573,1, ,2,4,1266,381376790528,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,1218, , , ,4,4,14,4,3,4, , ,3,5, , , , , , , ,38,1, , ,20480,3,1228,4, , , , , , ,35,209,120729120,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
2024-07-19 14:59:07.571 UTC, ,125,3233221,2696,86024,1344, ,23, ,10940, , , , , , , , , ,23,23, , , , ,2,32, ,408, , , , , , , , , ,2, , , ,6437954,1218,1,573,573, , , , ,1266,381375832064,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,8,42,106178264,2, , , , , , ,6354, , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,75, ,216,21,141,855,246,730, , , , , , 
2024-07-19 15:00:07.575 UTC, ,125,3231093,2696,83896,1344, ,23, ,10201, , , , , , , , , ,23,23, , , , ,2,32, ,29, , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381376245760,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,6,18,153160384,2, , , , , , ,156, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , ,7,59,21,38, , , , , , 
2024-07-19 15:01:07.582 UTC, ,125,3231093,2696,83896,1344, ,23, ,10130, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381375815680,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,13,144963200,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:02:07.583 UTC, ,125,3231093,2696,83896,1344, ,23, ,9728, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381375373312,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,11,118996216,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:03:07.584 UTC, ,125,3231093,2696,83896,1344, ,23, ,10126, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381374889984,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,11,223027632,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:04:07.586 UTC, ,125,3231093,2696,83896,1344, ,23, ,10146, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381374464000,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,8,12,157248448,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:05:07.588 UTC, ,125,3231093,2696,83896,1344, ,23, ,10132, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381374267392,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , ,1,82,6,9,191805592,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:06:07.589 UTC, ,125,3231093,2696,83896,1344, ,23, ,10132, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381373915136,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,8,10,109192800,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-07-19 15:07:07.590 UTC, ,125,3231093,2696,83896,1344, ,23, ,10118, , , , , , , , , ,23,23, , , , ,2,32, , , , , , , , , , , ,2, , , ,6435826,1218,1,573,573, , , , ,1266,381373607936,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1721401087533, , , , ,3145728,2962, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,7,8,176505440,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
