           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2024-07-19T15:13:33Z           0           0            0           0(NaN)       0(0)             0             0       209033        258048            0          -1           0
2024-07-19T15:13:33Z CRAWL RUNNING - Preparing
2024-07-19T15:13:33Z           1           1            0             0(0)       0(0)             0             0       131144        258048            ∞           1           1
2024-07-19T15:13:33Z CRAWL PAUSED - Paused
2024-07-19T15:13:33Z CRAWL RUNNING - Running
2024-07-19T15:13:53Z         248         206           42         2.1(2.1)     28(28)             0             1       159521        258048            1         189          13
2024-07-19T15:14:13Z         254         184           64         1.1(1.6)     60(44)             0             1       193142        258048            1         183          92
2024-07-19T15:14:33Z         286         209           71       0.35(1.18)     20(36)             0             0       177470        258048            1         208         104
2024-07-19T15:14:53Z         463         378           79        0.4(0.99)     17(31)             0             0       187037        258048            1         377         189
2024-07-19T15:15:13Z         467         375           86       0.35(0.86)      3(26)             0             0       188354        258048            1         374         187
2024-07-19T15:15:33Z         467         369           92        0.3(0.77)      0(21)             0             0       140579        258048            1         368         184
2024-07-19T15:15:53Z         467         362           99       0.35(0.71)     18(21)             0             0       212208        258048            1         361         181
2024-07-19T15:16:13Z         486         375          105        0.3(0.66)      4(19)             0             0       150374        258048            1         374         187
2024-07-19T15:16:33Z         515         387          122       0.85(0.68)     13(18)             0             0       151562        258048            1         385          96
2024-07-19T15:16:53Z         515         380          129       0.35(0.65)     11(17)             0             0       166735        258048            1         379         190
2024-07-19T15:17:13Z         516         375          135        0.3(0.61)      9(17)             0             0       171056        258048            1         374         187
2024-07-19T15:17:33Z         518         372          140       0.25(0.58)      5(16)             0             1       141974        258048            1         371         186
2024-07-19T15:17:53Z         522         369          147       0.35(0.57)      6(15)             0             0       134408        258048            1         368         184
2024-07-19T15:18:13Z         524         365          153        0.3(0.55)      7(14)             0             0       212807        258048            1         364         182
